DATE,HOUSNG
01.01.1990,-4.3
01.02.1990,0.8
01.03.1990,-9.4
01.04.1990,-6.8
01.05.1990,-8.9
01.06.1990,-15.7
01.07.1990,-17.9
01.08.1990,-16.3
01.09.1990,-13.2
01.10.1990,-28.1
01.11.1990,-15.2
01.12.1990,-22.5
01.01.1991,-48.5
01.02.1991,-32.8
01.03.1991,-28.5
01.04.1991,-19.8
01.05.1991,-17.8
01.06.1991,-12
01.07.1991,-9.2
01.08.1991,-5.9
01.09.1991,-8.6
01.10.1991,6.4
01.11.1991,-3.7
01.12.1991,11.4
01.01.1992,47.4
01.02.1992,29.5
01.03.1992,40.8
01.04.1992,9.8
01.05.1992,21.9
01.06.1992,10.5
01.07.1992,7.1
01.08.1992,16.9
01.09.1992,16.8
01.10.1992,15.3
01.11.1992,10.1
01.12.1992,13.7
01.01.1993,2.9
01.02.1993,-3.2
01.03.1993,-16.5
01.04.1993,14.5
01.05.1993,3.8
01.06.1993,11.8
01.07.1993,10.1
01.08.1993,6
01.09.1993,13.2
01.10.1993,11.9
01.11.1993,13.3
01.12.1993,24.9
01.01.1994,5.1
01.02.1994,10.5
01.03.1994,44.4
01.04.1994,16.5
01.05.1994,21.1
01.06.1994,10.1
01.07.1994,14.8
01.08.1994,11.5
01.09.1994,9.8
01.10.1994,4.2
01.11.1994,9.8
01.12.1994,-5.1
01.01.1995,10.6
01.02.1995,-1.6
01.03.1995,-20.1
01.04.1995,-13.5
01.05.1995,-13.9
01.06.1995,-9.1
01.07.1995,1.5
01.08.1995,-2.3
01.09.1995,-7.1
01.10.1995,-5.6
01.11.1995,-3.9
01.12.1995,-1.6
01.01.1996,4.3
01.02.1996,13.3
01.03.1996,14
01.04.1996,19.7
01.05.1996,14.5
01.06.1996,14.5
01.07.1996,0.8
01.08.1996,10
01.09.1996,7.7
01.10.1996,1.7
01.11.1996,2.5
01.12.1996,-4.3
01.01.1997,-7.6
01.02.1997,-0.3
01.03.1997,2.3
01.04.1997,-1.6
01.05.1997,-4.1
01.06.1997,1.8
01.07.1997,-2.4
01.08.1997,-10.7
01.09.1997,4.8
01.10.1997,9.2
01.11.1997,1.4
01.12.1997,14.3
01.01.1998,12.5
01.02.1998,6.6
01.03.1998,7.5
01.04.1998,3.2
01.05.1998,6.5
01.06.1998,9.8
01.07.1998,18.2
01.08.1998,16.1
01.09.1998,2.3
01.10.1998,12.8
01.11.1998,9.9
01.12.1998,14.4
01.01.1999,14.6
01.02.1999,5.4
01.03.1999,9.1
01.04.1999,0.8
01.05.1999,4.9
01.06.1999,-5
01.07.1999,-1.7
01.08.1999,2.1
01.09.1999,3.4
01.10.1999,-6.2
01.11.1999,-0.7
01.12.1999,-4.7
01.01.2000,-6.4
01.02.2000,4
01.03.2000,-6.2
01.04.2000,4.7
01.05.2000,-2.2
01.06.2000,0
01.07.2000,-12.3
01.08.2000,-6.5
01.09.2000,-7.8
01.10.2000,-3.7
01.11.2000,-5.9
01.12.2000,-10.3
01.01.2001,-2.2
01.02.2001,-6.4
01.03.2001,-0.9
01.04.2001,1.4
01.05.2001,1.9
01.06.2001,4.9
01.07.2001,14.1
01.08.2001,1.7
01.09.2001,3.6
01.10.2001,-0.6
01.11.2001,3.3
01.12.2001,2.3
01.01.2002,6.1
01.02.2002,12.6
01.03.2002,3.3
01.04.2002,-3.5
01.05.2002,9.9
01.06.2002,5
01.07.2002,-0.9
01.08.2002,4.2
01.09.2002,15.5
01.10.2002,7
01.11.2002,9.4
01.12.2002,14
01.01.2003,9.1
01.02.2003,-10.9
01.03.2003,5.1
01.04.2003,3.2
01.05.2003,-0.7
01.06.2003,8.7
01.07.2003,14.6
01.08.2003,12.2
01.09.2003,7.5
01.10.2003,19.4
01.11.2003,18.8
01.12.2003,15
01.01.2004,3.1
01.02.2004,13.3
01.03.2004,15.8
01.04.2004,21.9
01.05.2004,13.1
01.06.2004,-2.1
01.07.2004,5.5
01.08.2004,10.4
01.09.2004,-1.8
01.10.2004,5.3
01.11.2004,-14.5
01.12.2004,-0.7
01.01.2005,12.2
01.02.2005,19.6
01.03.2005,-6.7
01.04.2005,2.9
01.05.2005,2.2
01.06.2005,13.1
01.07.2005,2.6
01.08.2005,3.5
01.09.2005,12.9
01.10.2005,-0.3
01.11.2005,20.5
01.12.2005,-2.4
01.01.2006,6
01.02.2006,-4
01.03.2006,5.6
01.04.2006,-11.6
01.05.2006,-4.1
01.06.2006,-12.9
01.07.2006,-15.4
01.08.2006,-21.2
01.09.2006,-20
01.10.2006,-27.8
01.11.2006,-26.9
01.12.2006,-17.3
01.01.2007,-38
01.02.2007,-30.2
01.03.2007,-24.1
01.04.2007,-18.2
01.05.2007,-27.1
01.06.2007,-19.6
01.07.2007,-22
01.08.2007,-19.4
01.09.2007,-31.2
01.10.2007,-15.2
01.11.2007,-23.8
01.12.2007,-37.1
01.01.2008,-23.1
01.02.2008,-25.5
01.03.2008,-32.8
01.04.2008,-32
01.05.2008,-31.2
01.06.2008,-27.8
01.07.2008,-31.8
01.08.2008,-36.5
01.09.2008,-30.7
01.10.2008,-38.5
01.11.2008,-45.5
01.12.2008,-46
01.01.2009,-54.8
01.02.2009,-47.2
01.03.2009,-49.8
01.04.2009,-52.8
01.05.2009,-44.5
01.06.2009,-44.1
01.07.2009,-35.6
01.08.2009,-30.6
01.09.2009,-28.7
01.10.2009,-31.3
01.11.2009,-9.8
01.12.2009,3.8
01.01.2010,25.3
01.02.2010,3.8
01.03.2010,25.9
01.04.2010,43.7
01.05.2010,8
01.06.2010,-8.4
01.07.2010,-8.1
01.08.2010,2.2
01.09.2010,1.5
01.10.2010,1.7
01.11.2010,-7.3
01.12.2010,-7.2
01.01.2011,2.6
01.02.2011,-14.4
01.03.2011,-5.7
01.04.2011,-19.4
01.05.2011,-3.8
01.06.2011,13.4
01.07.2011,14.1
01.08.2011,-2.3
01.09.2011,9.4
01.10.2011,12.3
01.11.2011,30.5
01.12.2011,28.8
01.01.2012,14.8
01.02.2012,36.2
01.03.2012,15.8
01.04.2012,35.9
01.05.2012,26.2
01.06.2012,24.5
01.07.2012,18.8
01.08.2012,28.9
01.09.2012,30.3
01.10.2012,50
01.11.2012,17.2
01.12.2012,40.6
01.01.2013,22.8
01.02.2013,36.6
01.03.2013,45.3
01.04.2013,10.9
01.05.2013,31.4
01.06.2013,10.8
01.07.2013,18.9
01.08.2013,21.6
01.09.2013,0.4
01.10.2013,1.1
01.11.2013,32.1
01.12.2013,2.7
01.01.2014,0
01.02.2014,-1.9
01.03.2014,-4
01.04.2014,24.9
01.05.2014,8.3
01.06.2014,8.6
01.07.2014,23.3
01.08.2014,7.3
01.09.2014,20.4
01.10.2014,16.1
01.11.2014,-9
01.12.2014,7.1
01.01.2015,23
01.02.2015,-5.9
01.03.2015,-0.8
01.04.2015,14.2
01.05.2015,7.3
01.06.2015,31.6
01.07.2015,4.9
01.08.2015,15
01.09.2015,18.8
01.10.2015,-1.1
01.11.2015,16.8
01.12.2015,7.8
